epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,229.877,0.79293,0.92804,1.10725,0.56406,0.51698,0.57259,0.46516,0.77985,1.0089,1.09402,2.66208e-05,2.66208e-05,2.66208e-05
75,232.917,0.79151,0.94981,1.11237,0.57657,0.50075,0.57107,0.46829,0.78148,1.00428,1.09935,2.56704e-05,2.56704e-05,2.56704e-05
76,235.958,0.80498,0.93556,1.11759,0.54293,0.55209,0.57997,0.47521,0.77683,1.00794,1.09584,2.472e-05,2.472e-05,2.472e-05
77,238.983,0.77682,0.92795,1.1011,0.58739,0.54287,0.56997,0.46837,0.77378,1.0085,1.09494,2.37696e-05,2.37696e-05,2.37696e-05
78,242.018,0.78543,0.91387,1.10466,0.62062,0.52359,0.58661,0.48339,0.77432,1.00136,1.095,2.28192e-05,2.28192e-05,2.28192e-05
79,245.044,0.78507,0.91966,1.11273,0.68966,0.4818,0.58776,0.4839,0.77775,1.00007,1.09999,2.18688e-05,2.18688e-05,2.18688e-05
80,248.086,0.77911,0.90289,1.10586,0.66016,0.49117,0.59979,0.48905,0.77552,0.99067,1.09914,2.09184e-05,2.09184e-05,2.09184e-05
81,251.127,0.7877,0.90389,1.10258,0.69834,0.48047,0.58981,0.4833,0.77191,0.99193,1.09872,1.9968e-05,1.9968e-05,1.9968e-05
82,254.156,0.77257,0.92972,1.10299,0.73286,0.46613,0.58769,0.48209,0.77281,0.9935,1.0962,1.90176e-05,1.90176e-05,1.90176e-05
83,257.181,0.7613,0.89601,1.10238,0.72357,0.4793,0.58262,0.47686,0.77377,0.98661,1.10032,1.80672e-05,1.80672e-05,1.80672e-05
84,260.212,0.77882,0.89614,1.09583,0.5542,0.5415,0.57844,0.47522,0.77562,0.98747,1.10095,1.71168e-05,1.71168e-05,1.71168e-05
85,263.241,0.77565,0.88534,1.10427,0.59309,0.53216,0.58023,0.47271,0.77882,0.98031,1.09804,1.61664e-05,1.61664e-05,1.61664e-05
86,266.275,0.76528,0.90162,1.08936,0.58636,0.54213,0.59263,0.48533,0.77435,0.98581,1.10042,1.5216e-05,1.5216e-05,1.5216e-05
87,269.306,0.77755,0.90981,1.10584,0.59449,0.5377,0.59046,0.4831,0.77709,0.98803,1.09965,1.42656e-05,1.42656e-05,1.42656e-05
88,272.332,0.76743,0.88322,1.09193,0.58897,0.53113,0.59656,0.49147,0.7797,0.98557,1.1029,1.33152e-05,1.33152e-05,1.33152e-05
89,275.361,0.7639,0.89987,1.10818,0.60402,0.5341,0.60085,0.49211,0.77569,0.97908,1.09724,1.23648e-05,1.23648e-05,1.23648e-05
90,278.4,0.76613,0.87859,1.08947,0.58122,0.5421,0.59989,0.49306,0.77514,0.97772,1.09953,1.14144e-05,1.14144e-05,1.14144e-05
91,281.957,0.71503,0.87857,1.10452,0.63934,0.52914,0.59453,0.4834,0.78383,0.97834,1.09501,1.0464e-05,1.0464e-05,1.0464e-05
92,284.984,0.70042,0.85806,1.08121,0.63032,0.54396,0.59112,0.48398,0.77621,0.98321,1.0951,9.5136e-06,9.5136e-06,9.5136e-06
93,287.974,0.68355,0.83579,1.07619,0.63823,0.53248,0.5933,0.48612,0.77766,0.97942,1.0996,8.5632e-06,8.5632e-06,8.5632e-06
94,290.962,0.68514,0.83695,1.0732,0.64505,0.51501,0.60468,0.49897,0.77445,0.97734,1.0934,7.6128e-06,7.6128e-06,7.6128e-06
95,293.952,0.68536,0.84012,1.07532,0.67711,0.50966,0.59842,0.49168,0.7723,0.96811,1.09401,6.6624e-06,6.6624e-06,6.6624e-06
96,296.938,0.6774,0.83603,1.06461,0.67584,0.51308,0.6029,0.49659,0.77341,0.96548,1.09472,5.712e-06,5.712e-06,5.712e-06
97,299.921,0.68167,0.81713,1.07249,0.68594,0.5103,0.59584,0.48996,0.77154,0.96467,1.09316,4.7616e-06,4.7616e-06,4.7616e-06
98,302.918,0.67534,0.81155,1.0633,0.67736,0.50787,0.60095,0.49509,0.77035,0.96071,1.09228,3.8112e-06,3.8112e-06,3.8112e-06
99,305.905,0.67495,0.8372,1.08,0.67221,0.5074,0.59515,0.49138,0.77054,0.96364,1.09361,2.8608e-06,2.8608e-06,2.8608e-06
100,308.893,0.68154,0.83397,1.07614,0.68223,0.50947,0.6008,0.4944,0.76975,0.96241,1.09245,1.9104e-06,1.9104e-06,1.9104e-06
